Internal ID Number,Name,Constellation,Bayer,HIP,TYC,HD,_RAJ2000,_DEJ2000,V,B-V
Str_Her_00002690,,Hercules,Her,79488.0,375  1614 1,145892.0,243.3143044966,5.0210668619,5.46,1.47
Str_Tau_00002691,,Taurus,Tau,21735.0,690  1548 1,29589.0,70.0142392873,12.1976064422,5.46,-0.123
Str_Tau_00002692,,Taurus,Tau,21039.0,1265  1174 1,28546.0,67.6620375662,15.691875830699999,5.46,0.267
Str_Peg_00002693,,Pegasus,Peg,106787.0,1673   930 1,205852.0,324.4392900897,19.3186097668,5.46,0.315
Str_Ari_00002694,,Aries,Ari,14376.0,1787  1187 1,19134.0,46.3612005362,25.2551850428,5.46,-0.034
Str_Tau_00002695,Celaeno,Taurus,Tau,17489.0,1799  1440 1,23288.0,56.2009089618,24.2894790625,5.46,-0.045
Str_Cnc_00002696,,Cancer,nu. Cnc,44405.0,1950  2323 1,77350.0,135.684444685,24.452902427199998,5.46,-0.039
Str_Lyr_00002697,,Lyra,,92831.0,3127  2260 1,175740.0,283.7174087848,41.6027306683,5.46,1.031
Str_Cyg_00002698,,Cygnus,,98194.0,3141  3693 1,189178.0,299.3077844939,40.3678200189,5.46,-0.093
Str_Aur_00002699,,Auriga,omi Aur,27196.0,3368  1338 1,38104.0,86.4751516522,49.8262817769,5.46,0.041
Str_Cyg_00002700,,Cygnus,,103094.0,3575  6350 1,199098.0,313.3273718131,45.181682477799995,5.46,1.086
Str_UMa_00002701,,Ursa Major,,65728.0,3856   621 1,117376.0,202.11285771439998,59.9457904194,5.46,0.006
Str_UMa_00002702,,Ursa Major,A UMa,42080.0,4133  1970 1,72037.0,128.6504777022,65.1451778858,5.46,0.217
Str_Aql_00002703,,Aquila,Aql,99631.0,5161  2683 1,192107.0,303.3078469628,-1.0093562414,5.46,1.398
Str_Eri_00002704,,Eridanus,,21685.0,5327  1435 1,29613.0,69.8321246868,-14.3591936768,5.46,1.044
Str_Hya_00002705,,Hydra,Hya,44961.0,5445  1781 1,78732.0,137.3982108527,-8.7876477361,5.46,0.996
Str_Vir_00002706,,Virgo,Vir,68940.0,5554  1682 1,123255.0,211.6784347981,-9.3135206379,5.46,0.353
Str_Lib_00002707,,Libra,ksi02 Lib,73133.0,5587  1059 1,131918.0,224.192124896,-11.409699066400002,5.46,1.475
Str_Lib_00002708,,Libra,Lib,78400.0,6200  1429 1,143333.0,240.08162308189998,-16.533381781,5.46,0.513
Str_Lep_00002709,,Lepus,,28943.0,6492  2566 1,41841.0,91.6337420089,-23.1108420481,5.46,0.068
Str_Crv_00002710,,Corvus,Crv,59394.0,6668   993 1,105850.0,182.76599964689999,-23.602425813000004,5.46,0.051
Str_Gru_00002711,,Grus,,108294.0,7494  1747 1,208321.0,329.0948771936,-37.2536519766,5.46,0.079
Str_Cen_00002712,,Centaurus,u Cen,60855.0,7757  2015 1,108541.0,187.0936189,-39.0411648153,5.46,-0.07
Str_Cen_00002713,,Centaurus,,63066.0,7780  1449 1,112213.0,193.8309759602,-42.915729332199994,5.46,1.641
Str_CrA_00002714,,Corona Australis,eta01 CrA,92308.0,7927   522 1,173715.0,282.2103654689,-43.68004727939999,5.46,0.129
Str_Pic_00002715,,Pictor,,25768.0,8090  1486 1,36553.0,82.5395050785,-47.077665340799996,5.46,0.617
Str_Cen_00002716,,Centaurus,C03 Cen,56700.0,8219  2069 1,101067.0,174.39162981639996,-47.7473054161,5.46,1.215
Str_Cen_00002717,,Centaurus,,67304.0,8270   480 1,119971.0,206.9105925405,-50.3206950549,5.46,1.335
Str_Cen_00002718,,Centaurus,,65112.0,8662  1710 1,115823.0,200.1576096388,-52.747824604899996,5.46,-0.124
Str_Lup_00002719,,Lupus,,74305.0,8698   955 1,134270.0,227.8165817375,-55.346034636700004,5.46,1.116
Str_Car_00002720,,Carina,,42286.0,8930   600 1,73887.0,129.3284932897,-62.85346596220001,5.46,1.018
Str_Tuc_00002721,,Tucana,lam02 Tuc,4293.0,9135  1892 1,5457.0,13.7513183412,-69.5270812825,5.46,1.079
Str_Men_00002722,,Mensa,eta Men,22871.0,9173  1001 1,32440.0,73.7966283671,-74.936853443,5.46,1.5119999999999998
Str_Car_00002723,,Carina,,46358.0,9204  1584 1,82350.0,141.77633614959998,-71.6018833908,5.46,1.073
Str_Men_00002724,,Mensa,kap Men,27566.0,9386  2611 1,40953.0,87.5699510076,-79.3613555086,5.46,-0.071
Str_Men_00002725,,Mensa,the Men,33384.0,9388  1630 1,54239.0,104.14362497469999,-79.4201933703,5.46,0.037000000000000005
Str_Cha_00002726,,Chamaleon,eta Cha,42637.0,9403  1986 1,75416.0,130.3313163611,-78.9633693248,5.46,-0.098
Str_Oct_00002727,,Octans,iot Oct,63031.0,9512  2121 1,111482.0,193.744549882,-85.1234072295,5.46,0.997
